src_ip,dst_ip,protocol,src_port,dst_port,timestamp,length,ttl,flags
203.78.135.92,119.126.125.12,TCP,80,57922,1641013200.098876,1500,62,16
38.89.4.62,163.45.129.206,UDP,53,50900,1641013200.098886,92,55,
203.78.135.92,119.126.125.12,TCP,80,57922,1641013200.098894,1500,62,16
92.72.196.229,133.105.59.97,TCP,49119,3050,1641013200.098899,40,243,2
133.227.58.122,185.138.73.88,ICMP,,,1641013200.098922,56,248,
89.247.69.180,203.78.161.122,TCP,53467,20581,1641013200.098932,40,246,2
133.227.136.19,119.67.223.152,UDP,4500,56540,1641013200.099031,1344,56,
133.227.136.19,119.67.223.152,UDP,4500,56540,1641013200.099032,1344,56,
133.227.136.19,119.67.223.152,UDP,4500,56540,1641013200.099033,1344,56,
133.227.136.19,119.67.223.152,UDP,4500,56540,1641013200.099038,1344,56,
89.247.69.180,163.45.202.74,TCP,53467,16143,1641013200.099062,40,246,2
89.247.69.146,163.45.149.211,TCP,8080,11921,1641013200.099149,40,246,2
133.243.45.103,170.13.207.128,TCP,62868,443,1641013200.099155,257,122,24
92.72.197.100,203.78.216.17,TCP,45239,44594,1641013200.09918,40,247,2
157.206.229.0,192.120.200.155,TCP,58678,443,1641013200.099246,52,54,16
221.152.24.255,203.78.129.216,TCP,51104,443,1641013200.099317,52,55,16
89.247.66.138,133.105.4.209,TCP,8080,58417,1641013200.09933,40,246,2
89.247.69.145,133.105.98.165,TCP,53450,31294,1641013200.099358,40,246,2
185.167.249.130,133.251.179.150,TCP,55802,2181,1641013200.099432,40,244,2
5.167.66.23,133.105.71.139,UDP,11211,11211,1641013200.099521,55,48,
89.247.69.144,203.78.230.36,TCP,8080,20390,1641013200.099551,40,246,2
92.72.196.229,133.105.37.218,TCP,49119,3048,1641013200.09957,40,243,2
203.78.135.92,110.71.87.27,TCP,443,14897,1641013200.09962,1440,62,16
179.40.74.191,133.251.114.78,TCP,47183,23,1641013200.099626,52,51,16
203.78.135.92,110.71.87.27,TCP,443,14897,1641013200.09964,1440,62,16
179.40.74.191,133.251.114.78,TCP,47183,23,1641013200.099665,132,51,24
89.247.66.138,133.251.83.172,TCP,8080,25701,1641013200.099677,40,246,2
